alert_id,timestamp,src_ip,dst_ip,ground_truth_label,expected_severity,predicted_attack,severity,technique_id,technique_name,summary,recommended_action,confidence,engine,attack_correct,severity_close,technique_correct
A011,2017-07-07T10:02:00Z,192.0.2.121,10.0.0.30,FTP-Patator,high,True,high,T1110,Brute Force,"TCP flow from 192.0.2.121 to file-server-01 (10.0.0.30:21) recorded 14 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A012,2017-07-07T10:02:04Z,192.0.2.122,10.0.0.30,FTP-Patator,high,True,high,T1110,Brute Force,"TCP flow from 192.0.2.122 to file-server-01 (10.0.0.30:21) recorded 11 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A013,2017-07-07T10:02:08Z,192.0.2.123,10.0.0.30,FTP-Patator,high,True,high,T1110,Brute Force,"TCP flow from 192.0.2.123 to file-server-01 (10.0.0.30:21) recorded 17 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A014,2017-07-07T10:03:00Z,192.0.2.131,10.0.0.20,SSH-Patator,high,True,critical,T1110,Brute Force,"TCP flow from 192.0.2.131 to identity-01 (10.0.0.20:22) recorded 19 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A015,2017-07-07T10:03:04Z,192.0.2.132,10.0.0.20,SSH-Patator,high,True,critical,T1110,Brute Force,"TCP flow from 192.0.2.132 to identity-01 (10.0.0.20:22) recorded 12 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A016,2017-07-07T10:03:08Z,192.0.2.133,10.0.0.20,SSH-Patator,high,True,critical,T1110,Brute Force,"TCP flow from 192.0.2.133 to identity-01 (10.0.0.20:22) recorded 22 failed logins, consistent with repeated authentication attempts.","Block or rate-limit the source, preserve authentication logs, and escalate for account-compromise review.",0.96,rules,True,True,True
A017,2017-07-07T10:04:00Z,192.0.2.151,10.0.0.10,DDoS,critical,True,critical,T1498.001,Direct Network Flood,"TCP flow from 192.0.2.151 to public-web-01 (10.0.0.10:80) delivered 3,200 forward packets in 1,800 ms, consistent with a volumetric denial-of-service flow.",Escalate immediately and apply upstream rate limiting or DDoS mitigation while validating service availability.,0.94,rules,True,True,True
A018,2017-07-07T10:04:02Z,192.0.2.152,10.0.0.10,DDoS,critical,True,critical,T1498.001,Direct Network Flood,"TCP flow from 192.0.2.152 to public-web-01 (10.0.0.10:80) delivered 2,710 forward packets in 2,200 ms, consistent with a volumetric denial-of-service flow.",Escalate immediately and apply upstream rate limiting or DDoS mitigation while validating service availability.,0.94,rules,True,True,True
A019,2017-07-07T10:04:04Z,192.0.2.153,10.0.0.10,DDoS,critical,True,critical,T1498.001,Direct Network Flood,"TCP flow from 192.0.2.153 to public-web-01 (10.0.0.10:443) delivered 4,180 forward packets in 2,700 ms, consistent with a volumetric denial-of-service flow.",Escalate immediately and apply upstream rate limiting or DDoS mitigation while validating service availability.,0.94,rules,True,True,True
A020,2017-07-07T10:04:06Z,192.0.2.154,10.0.0.10,DDoS,critical,True,critical,T1498.001,Direct Network Flood,"TCP flow from 192.0.2.154 to public-web-01 (10.0.0.10:443) delivered 2,250 forward packets in 3,200 ms, consistent with a volumetric denial-of-service flow.",Escalate immediately and apply upstream rate limiting or DDoS mitigation while validating service availability.,0.94,rules,True,True,True
A021,2017-07-07T10:05:00Z,198.51.100.4,10.0.0.10,Bot,high,True,high,T1071.001,Web Protocols,TCP flow from 198.51.100.4 to public-web-01 (10.0.0.10:443) originated from a locally listed known-bad network and may represent command-and-control over a common web protocol.,"Isolate the destination if communication is confirmed, block the source, and collect endpoint telemetry.",0.82,rules,True,True,True
A022,2017-07-07T10:05:05Z,198.51.100.7,10.0.0.30,Bot,high,True,high,T1071.001,Web Protocols,TCP flow from 198.51.100.7 to file-server-01 (10.0.0.30:80) originated from a locally listed known-bad network and may represent command-and-control over a common web protocol.,"Isolate the destination if communication is confirmed, block the source, and collect endpoint telemetry.",0.82,rules,True,True,True
A023,2017-07-07T10:05:10Z,203.0.113.66,10.0.0.20,Bot,high,True,high,T1071.001,Web Protocols,TCP flow from 203.0.113.66 to identity-01 (10.0.0.20:443) originated from a locally listed known-bad network and may represent command-and-control over a common web protocol.,"Isolate the destination if communication is confirmed, block the source, and collect endpoint telemetry.",0.82,rules,True,True,True
A024,2017-07-07T10:05:15Z,203.0.113.70,10.0.0.10,Bot,high,True,high,T1071.001,Web Protocols,TCP flow from 203.0.113.70 to public-web-01 (10.0.0.10:80) originated from a locally listed known-bad network and may represent command-and-control over a common web protocol.,"Isolate the destination if communication is confirmed, block the source, and collect endpoint telemetry.",0.82,rules,True,True,True
